name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event,in_pro_network,pro_network_misses,upcoming_events_count,source
PyData Stockholm,https://www.meetup.com/pydatastockholm,pydatastockholm,1696,Stockholm,4.7,"Stockholm, Sverige",59.3251172,18.0710935,Sverige,31,,,2026-08-13T18:30:00+02:00[Europe/Stockholm],True,https://www.meetup.com/pydatastockholm/events/,https://www.meetup.com/pydatastockholm/members/?op=leaders,2,False,0,0,
"Datenanalyse, Data Science und Statistik - PyData Dortmund",https://www.meetup.com/datenanalyse-dortmund-pydata,datenanalyse-dortmund-pydata,182,Dortmund,4.2,"Dortmund, Deutschland",51.5142273,7.4652789,Deutschland,17,3,Dominik Schütgens,2026-07-24T04:00:00+02:00[Europe/Berlin],True,https://www.meetup.com/datenanalyse-dortmund-pydata/events/,https://www.meetup.com/datenanalyse-dortmund-pydata/members/?op=leaders,23,True,0,0,
PyData Hamburg,https://www.meetup.com/PyData-Hamburg,PyData-Hamburg,2640,Hamburg,4.6,"Hamburg, Deutschland",53.5501721,10.0013165,Deutschland,46,6,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Berlin],True,https://www.meetup.com/PyData-Hamburg/events/,https://www.meetup.com/PyData-Hamburg/members/?op=leaders,23,True,0,0,
PyData Rhein-Main - Artificial Intelligence in Python,https://www.meetup.com/pydata-rhein-main,pydata-rhein-main,1738,Frankfurt,4.6,"Frankfurt, Deutschland",50.1106444,8.6820917,Deutschland,20,3,Alexander C. S. Hendorf,2026-07-24T04:00:00+02:00[Europe/Berlin],True,https://www.meetup.com/pydata-rhein-main/events/,https://www.meetup.com/pydata-rhein-main/members/?op=leaders,23,False,0,0,
PyData Malaga,https://www.meetup.com/pydata-malaga,pydata-malaga,461,Málaga,4.9,"Málaga, España",36.7213028,-4.4216366,España,13,,,2026-08-13T18:30:00+02:00[Europe/Madrid],True,https://www.meetup.com/pydata-malaga/events/,https://www.meetup.com/pydata-malaga/members/?op=leaders,2,False,0,0,
PyData Südwest - Artificial Intelligence in Python,https://www.meetup.com/pydata-suedwest,pydata-suedwest,1782,Heidelberg,4.8,"Heidelberg, Deutschland",49.4093582,8.694724,Deutschland,41,5,Alexander C. S. Hendorf,2026-07-24T04:00:00+02:00[Europe/Berlin],True,https://www.meetup.com/pydata-suedwest/events/,https://www.meetup.com/pydata-suedwest/members/?op=leaders,23,False,0,0,
PyData GRX,https://www.meetup.com/pydatagrx,pydatagrx,728,Granada,4.9,"Granada, España",37.1734995,-3.5995337,España,20,11,Manuel,2026-07-24T04:00:00+02:00[Europe/Madrid],True,https://www.meetup.com/pydatagrx/events/,https://www.meetup.com/pydatagrx/members/?op=leaders,23,True,0,0,
PyData Helsinki,https://www.meetup.com/pydatahelsinki,pydatahelsinki,1253,Helsinki,4.8,"Helsinki, Suomi / Finland",60.1666204,24.9435408,Suomi / Finland,21,8,Jouni Seppänen,2026-08-12T14:30:00+03:00[Europe/Helsinki],True,https://www.meetup.com/pydatahelsinki/events/,https://www.meetup.com/pydatahelsinki/members/?op=leaders,3,True,0,0,
PyData Berlin,https://www.meetup.com/PyData-Berlin,PyData-Berlin,9752,Berlin,4.6,"Berlin, Deutschland",52.5173885,13.3951309,Deutschland,144,22,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Berlin],True,https://www.meetup.com/PyData-Berlin/events/,https://www.meetup.com/PyData-Berlin/members/?op=leaders,23,True,0,1,
PyData Tallinn,https://www.meetup.com/pydata-tallinn,pydata-tallinn,658,Tallinn,4.7,"Tallinn, Eesti",59.437242,24.7572693,Eesti,11,3,Isaac Chung,2026-07-24T04:00:00+03:00[Europe/Tallinn],True,https://www.meetup.com/pydata-tallinn/events/,https://www.meetup.com/pydata-tallinn/members/?op=leaders,23,True,0,0,
PyData Valencia,https://www.meetup.com/pydata-valencia,pydata-valencia,152,Valencia,4.9,"Valencia, España",39.4697065,-0.3763353,España,5,5,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Europe/Madrid],True,https://www.meetup.com/pydata-valencia/events/,https://www.meetup.com/pydata-valencia/members/?op=leaders,23,True,0,0,
PyData Zurich,https://www.meetup.com/PyData-Zurich,PyData-Zurich,1967,Zürich,4.5,"Zürich, Schweiz/Suisse/Svizzera/Svizra",47.3744489,8.5410422,Schweiz/Suisse/Svizzera/Svizra,34,6,Titus von Köller,2026-07-24T04:00:00+02:00[Europe/Zurich],True,https://www.meetup.com/PyData-Zurich/events/,https://www.meetup.com/PyData-Zurich/members/?op=leaders,23,True,0,0,
PyData Valais,https://www.meetup.com/pydata-valais,pydata-valais,274,Sion,4.7,"Sion, Schweiz/Suisse/Svizzera/Svizra",46.2311749,7.3588795,Schweiz/Suisse/Svizzera/Svizra,6,4,Raphaël Lüthi,2026-07-24T04:00:00+02:00[Europe/Zurich],True,https://www.meetup.com/pydata-valais/events/,https://www.meetup.com/pydata-valais/members/?op=leaders,23,True,0,0,
PyData Trojmiasto,https://www.meetup.com/PyData-Trojmiasto,PyData-Trojmiasto,1842,Gdansk,4.7,"Gdansk, Polska",54.3482907,18.6540233,Polska,54,5,P. Stoworowicz,2026-07-24T04:00:00+02:00[Europe/Warsaw],True,https://www.meetup.com/PyData-Trojmiasto/events/,https://www.meetup.com/PyData-Trojmiasto/members/?op=leaders,23,True,0,0,
PyData Eivissa/Ibiza,https://www.meetup.com/pydata-eivissa-ibiza,pydata-eivissa-ibiza,122,Eivissa,4.8,"Eivissa, España",38.9743901,1.4197463,España,0,,,,True,https://www.meetup.com/pydata-eivissa-ibiza/events/,https://www.meetup.com/pydata-eivissa-ibiza/members/?op=leaders,,False,0,0,
